PLAZA CODE,PLAZA NAME,CONCESSIONAIRE TYPE,PLAZA SUB TYPE,STATE,CITY,LATITUDE,LONGITUDE
536666,Rudravaram Toll plaza,PF,NATIONAL,Andhra Pradesh,Rudravaram,15.85332,78.462748
536671,Kothapalli Toll Plaza,PF,NATIONAL,Andhra Pradesh,Vijayawada,15.093838,79.165512
536673,Kadarampalli Fee Plaza,PF,NATIONAL,Andhra Pradesh,Kadaramp,14.6985,77.004255
536709,Paluvai Toll Plaza,PF,NATIONAL,Andhra Pradesh,Paluvai,16.53392,79.51077
536752,R Kothapalli Toll palza,PF,NATIONAL,Andhra Pradesh,Kurnool,15.387436,78.053719
536780,Upputuru Toll Plaza,PF,NATIONAL,Andhra Pradesh,Upputur,15.9349497,80.290233
536787,Chintalapudi Toll Plaza,PF,NATIONAL,Andhra Pradesh,Sathupalli,17.1153204,81.0127182
536800,Vedurupavuluru Toll Plaza,PF,NATIONAL,Andhra Pradesh,Vijayawada,16.572629,80.715224
536801,Venkatapalem Toll Plaza,PF,NATIONAL,Andhra Pradesh,Amaravati,16.505174,80.543517
536802,Inagaluru Toll plaza,PF,NATIONAL,Andhra Pradesh,ANANTAPUR,14.05116,78.03248
536829,Peddakonduru Toll Plaza,PF,NATIONAL,Andhra Pradesh,Nellore,14.8270154,79.7247624
536879,Peddakonduru Toll Plaza,PF,NATIONAL,Andhra Pradesh,Sri Potti Sriramulu Nellore,14.8270154,79.7247624
552001,Thummalacheruvu Toll Plaza,DBFOT,STATE,Andhra Pradesh,Thummala,16.538341,79.798918
552002,Elchuru Toll Plaza,DBFOT,STATE,Andhra Pradesh,Elchuru,16.107077,79.928762
552003,TTD Saptagiri Toll Plaza,Conc.,STATE,Andhra Pradesh,Tirupati to,13.6473,79.4021
552004,Kovvuru Toll Plaza,Conc.,STATE,Andhra Pradesh,Vijayawada,17.02729,81.719536
552005,Ganpathi Forest Check Post,Conc,STATE,Andhra Pradesh,Prakasam,15.929953,79.097636
378004,Mikirati Hawgaon Toll Plaza,PF,NATIONAL,Assam,Daboka,26.131342,92.836207
378005,Nazirakhat Toll Plaza,PF,NATIONAL,Assam,Sonapur,26.121161,91.938698
378006,Madanpur Toll Plaza,PF,NATIONAL,Assam,Madanpur,26.309387,91.716408
378007,Dahalapara Toll Plaza,PF,NATIONAL,Assam,Bongoigao,26.476602,90.712074
378008,Raha Toll Plaza,PF,NATIONAL,Assam,Guwahati,26.245792,92.54147
378009,Patgaon Toll Plaza,PF,NATIONAL,Assam,Kokrajhar,26.567821,90.218439
378010,Manderdisa Toll Plaza,PF,NATIONAL,Assam,Dima Hasa,25.736519,93.138524
378011,Balachera Toll Plaza,PF,NATIONAL,Assam,Cachar,24.946609,92.756356
378012,Galia Toll Plaza,PF,NATIONAL,Assam,Galia,26.442682,91.048867
536337,Telipara Toll Plaza,PF,NATIONAL,Assam,Gossaigao,26.44398,89.942892
536723,Rangamati Fee Plaza,PF,NATIONAL,Assam,Guwahati,26.6777967012742,93.9202646605626
536761,Sulung Fee Plaza,PF,NATIONAL,Assam,Guwahati,26.567647,92.869082
33002,Mohania Toll Plaza,Conc.,NATIONAL,Bihar,Kaimur,25.1882337,83.5615933
33003,Sasaram Toll Plaza,Conc.,NATIONAL,Bihar,Rohtas,24.957125,83.954997
84001,Hariabara Toll Plaza,Conc.,NATIONAL,Bihar,Araria,26.152636,87.445216
85001,Asanpur  Toll Plaza,Conc.,NATIONAL,Bihar,Supaul,26.297778,86.632891
87001,Maithi Toll Plaza,Conc.,NATIONAL,Bihar,Muzaffarpur,26.112648,85.564827
239900,Raje Toll Plaza(T-2),Conc.,NATIONAL,Bihar,Darbhanga,26.225144,86.150263
280001,Govindpur(Murlitol) Toll Plaza,Conc.,NATIONAL,Bihar,Barauni,25.5899165,85.875775
284001,Mahant Maniyari Toll Plaza,Conc.,NATIONAL,Bihar,Muzaffarpur,26.0387944,85.4475413
340056,Dalsagar Toll Plaza,PF,NATIONAL,Bihar,Dal Sagar,25.580548,84.060688
340061,Bhadesar Toll Plaza,PF,NATIONAL,Bihar,Jogbani,26.343119,87.236811
340062,Karigawan fee plaza,PF,NATIONAL,Bihar,Rajauli,24.688738,85.507067
380001,Didar Ganj Toll Plaza,Conc.,NATIONAL,Bihar,Patna,25.5721918,85.2400643
380012,Saukala Toll Plaza,PF,NATIONAL,Bihar,Aurangabad,24.599579,84.70284
380014,Saidpur Patedha Toll Plaza,PF,NATIONAL,Bihar,Saidpur Pa,25.8024478,85.2834059
380015,Maranga Toll Plaza,PF,NATIONAL,Bihar,Purnia,25.728651,87.458279
380016,Parsoni Khem Toll Plaza,TOT,NATIONAL,Bihar,Purvi Champaran,26.451643,85.022817
380017,Barsoni Toll Plaza,PF,NATIONAL,Bihar,Purnia,25.804725,87.590748
380018,Runni Shaidpur Toll Plaza,PF,NATIONAL,Bihar,Sitamarhi,26.373555,85.493897
380019,Balgudar Toll Plaza,PF,NATIONAL,Bihar,Lakhisarai,25.202348,86.081872
380020,Kharik Toll Plaza,PF,NATIONAL,Bihar,Bhagalpur,25.385796,87.01154
380022,Bhagalpur Toll plaza,PF,NATIONAL,Bihar,Bhagalpur,25.2322,87.0094
380023,Bishunpurwa Toll Plaza,PF,NATIONAL,Bihar,Motihari,26.9970148,84.375504
380024,Sonho Fee Plaza,PF,NATIONAL,Bihar,Chhapra,25.924418,84.967832
380025,Pokhraira Fee Plaza,PF,NATIONAL,Bihar,Sitamarhi,26.0558561,85.1829012
380026,Chapraitha Fee Plaza,PF,NATIONAL,Bihar,Chhapra,26.0265755,84.4909225
380027,Chandithan Toll Plaza,PF,NATIONAL,Bihar,Patna,27.38203,83.39483
380028,Brindawan Fee Plaza,PF,NATIONAL,Bihar,Chhapra,25.7478818,84.9518215
380029,Khaikhat Toll Plaza,PF,NATIONAL,Bihar,Kishangarh,26.318939,87.9026
380030,Toda Toll Plaza,PF,NATIONAL,Bihar,Nalanda,25.242639,85.786389
380031,Shahpur Toll Plaza,PF,NATIONAL,Bihar,Begusarai,25.410189,86.212352
380032,Babhaniyawan Toll Plaza,PF,NATIONAL,Bihar,Patna,25.498322,84.488333
380033,Kulhariya fee plaza,PF,NATIONAL,Bihar,Arrah,25.58056,84.76861
536121,Jeerangachh toll Plaza,PF,NATIONAL,Bihar,Kishangan,26.34924,88.0535763
536122,Routara Toll Plaza,PF,NATIONAL,Bihar,Katihar,25.673552,87.522361
536238,Phulwaria Toll Plaza,PF,NATIONAL,Bihar,Motihari,26.7435288,84.7504257
536308,Mamrejpur Fee Plaza,PF,NATIONAL,Bihar,Patna,25.48627,84.998221
536374,Malhipur Toll Plaza,PF,NATIONAL,Bihar,Kanwarpur,25.426414,86.4420611
536393,Kakan Toll Plaza,PF,NATIONAL,Bihar,Araria,26.144405,87.580533
536427,Barhima Toll Plaza,PF,NATIONAL,Bihar,Gopalganj,26.411782,84.584858
536475,Devkuli Toll Plaza,PF,NATIONAL,Bihar,Jahanabad,25.1366,84.9862
536476,Jindapur Toll Plaza,PF,NATIONAL,Bihar,Gaya,24.6721,84.9609
536480,Paithna Toll Plaza,PF,NATIONAL,Bihar,Nalanda,25.29726,85.524077
536665,Biharibigha Toll Plaza,PF,NATIONAL,Bihar,Biharibigha,25.437836,85.780252
536706,Katiryara Toll Plaza,PF,NATIONAL,Bihar,ROHTAS,25.241337,83.984859
536803,Rahua Toll Plaza,PF,NATIONAL,Bihar,Saharsa,25.912353,86.539642
536846,Parei Toll Plaza,PF,NATIONAL,Bihar,Dhaka,26.625266,85.112542
536089,Maroud Toll Plaza,PF,NATIONAL,Chandigarh,Dhamtari,20.895944,81.686546
91001,Durg Bypass Toll Plaza,Conc.,NATIONAL,Chhattisgarh,Durg,21.214518,81.287962
92001,Thakurtolla toll plaza,Conc.,NATIONAL,Chhattisgarh,Rajnandgaon,21.117914,81.122298
241700,Chhuhipali Toll Plaza,Conc.,NATIONAL,Chhattisgarh,Mahasamund,21.299821,82.942781
241701,Dhank Toll Plaza,Conc.,NATIONAL,Chhattisgarh,Mahasamund,21.227203,82.42025
241900,Mandir Hasaud Toll Plaza,Conc.,NATIONAL,Chhattisgarh,Raipur,21.20296,81.905328
349007,Chotiya TOLL PLAZA,PF,NATIONAL,Chhattisgarh,Korba,22.7662305,82.4799789
349008,Pachira Toll Plaza,PF,NATIONAL,Chhattisgarh,Surajpur,23.195053,82.925264
349009,Mashora Toll Plaza,NHAI,NATIONAL,Chhattisgarh,Jagdalpur,19.62327,81.667297
349010,Kumhari Toll Plaza,PF,NATIONAL,Chhattisgarh,Kumhari,21.2525171,81.5368479
349011,Mudhipar TOLL PLAZA,PF,NATIONAL,Chhattisgarh,BILASPUR,21.19004,81.159205
349012,Bhojpuri Toll Plaza,PF,NATIONAL,Chhattisgarh,Saragaon,21.9322781,82.0123636
349013,Jagtara TOLL PLAZA,PF,NATIONAL,Chhattisgarh,Kanker,20.6046999,81.4195136
349014,Badaiyiguda Toll Plaza,PF,NATIONAL,Chhattisgarh,Jagdalpur,19.223505,81.932872
349015,Paraghat Toll Plaza,PF,NATIONAL,Chhattisgarh,Bilaspur,22.010617,82.323591
536483,Kesla Plaza Toll Plaza,PF,NATIONAL,Chhattisgarh,Shakti,22.0177079,82.8681584
